Item,Amount,Bought?,Cost (CAD),Total Cost,Notes,Link
,,,,,,
Motors,4,n,17.38,69.52,,https://www.aliexpress.com/item/1005007351717901.html?spm=a2g0o.productlist.main.1.1a32ZabUZabUfY&algo_pvid=fd3834e6-a2c2-4f00-b35e-744f00324847&algo_exp_id=fd3834e6-a2c2-4f00-b35e-744f00324847-0&pdp_ext_f=%7B%22order%22%3A%2276%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2133.42%2117.38%21%21%21169.99%2188.40%21%402103209b17540037628472207e2b81%2112000040386970522%21sea%21CA%216060346685%21X&curPageLogUid=XZKiQGG343e4&utparam-url=scene%3Asearch%7Cquery_from%3A
ESC,4,n,6.3,25.2,,"aliexpress.com/item/1005007431507565.html?spm=a2g0o.productlist.main.1.79a3hJznhJznry&algo_pvid=21355d8a-c80c-4768-a637-675f08cec9b8&algo_exp_id=21355d8a-c80c-4768-a637-675f08cec9b8-0&pdp_ext_f=%7B""order""%3A""564""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21CAD%216.30%216.30%21%21%214.45%214.45%21%402101c5ac17540038774935999eaa39%2112000040730641473%21sea%21CA%216060346685%21X&curPageLogUid=pRTeCtzttBKK&utparam-url=scene%3Asearch%7Cquery_from%3A"
Battery ,1,n,145.38,145.38,(includes 2),https://www.aliexpress.com/item/1005004995261155.html?spm=a2g0o.productlist.main.1.60c439e7z7KGuy&algo_pvid=7fe11ee3-1e82-4fc9-a46b-d6c700b36dff&algo_exp_id=7fe11ee3-1e82-4fc9-a46b-d6c700b36dff-0&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%21325.82%2171.68%21%21%21230.28%2150.66%21%402101ea7117540042988076111ef5fe%2112000041488757189%21sea%21CA%216060346685%21X&curPageLogUid=jsSRyU6ExPx9&utparam-url=scene%3Asearch%7Cquery_from%3A
Radiolink Flight Controller,1,n,31.18,31.18,,"aliexpress.com/item/1005009514369066.html?spm=a2g0o.productlist.main.11.72146403dDdVeX&algo_pvid=22f14dff-a345-4a52-af93-78594f6b739a&algo_exp_id=22f14dff-a345-4a52-af93-78594f6b739a-10&pdp_ext_f=%7B""order""%3A""2""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21CAD%2149.49%2131.18%21%21%21251.73%21158.60%21%40210318c317540039395021042e472e%2112000049334631426%21sea%21CA%216060346685%21X&curPageLogUid=OkovzRTiS2OA&utparam-url=scene%3Asearch%7Cquery_from%3A"
power distribution board,1,n,10.48,10.48,,https://www.aliexpress.com/item/1005007472949326.html?spm=a2g0o.productlist.main.3.10b24310suD8nY&algo_pvid=b39811a3-9d6a-4b5d-8196-468059db35a2&algo_exp_id=b39811a3-9d6a-4b5d-8196-468059db35a2-2&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2130.32%2110.48%21%21%21154.22%2153.32%21%402101ef5e17540041756762744e808a%2112000041031987695%21sea%21CA%216060346685%21X&curPageLogUid=IYZs7T15iogy&utparam-url=scene%3Asearch%7Cquery_from%3A
Controller,1,n,107.99,107.99,,https://www.amazon.ca/Radiolink-T12D-Transmitter-Telemetry-Long-Range/dp/B0DB5JHSS6?crid=33MPV1SR1FYT0&dib=eyJ2IjoiMSJ9.IcpKIBW-nOgHqfXJRDveZ0dMcOynI7TpzgFeedVcqMHkEZsxxGmH9NgdZlwX0hxqpoopVknulo1RwiIabz6CALzTBlHBiC9vml3UIYnzTXyAQpzBJ8Zy1MUPUVrGnz85YaXNYV5hN7ovlIeD5lANXlGwFoN-GZgHeIrsQaiAOI3fsveIAJsXvQG-YZwUyAqrWCCeZv7AgHMd9_v_0GhvrArW4gFKQhqyrjRa5ox0BRemp6AIO0iqxMtD3ekB8vGTUa3dQ6f8B_r_NnPpoakiQvo_ct47znyV9i5XA9hZ0kA.CYwL8cLXJxCbCpLl-hw-mwpc-17_qm1j0H9Yg1JrS4M&dib_tag=se&keywords=transmitter+rc&qid=1754004049&sprefix=transmitter+%2Caps%2C143&sr=8-3
Propellors,1,n,15.58,15.58,includes 4 obviously,https://www.aliexpress.com/item/1005007471007910.html?spm=a2g0o.productlist.main.4.1ee12b0817sXsu&aem_p4p_detail=2025073116271014538215833943750003219797&algo_pvid=d39271d5-b4c3-48ca-9b68-29fdaa722707&algo_exp_id=d39271d5-b4c3-48ca-9b68-29fdaa722707-3&pdp_ext_f=%7B%22order%22%3A%221159%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2115.58%2115.58%21%21%2179.25%2179.25%21%402101c59817540044305921926e2708%2112000041027562833%21sea%21CA%216060346685%21X&curPageLogUid=Nw0fCdv9NLOf&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025073116271014538215833943750003219797_1
,,,,,,
M5x20 Screws,1,n,5.2,5.2,,https://www.aliexpress.com/item/1005004801296825.html?spm=a2g0o.productlist.main.1.5d541488qCS2BO&algo_pvid=acc9feaa-be9d-457d-918a-48099b60abe3&algo_exp_id=acc9feaa-be9d-457d-918a-48099b60abe3-0&pdp_ext_f=%7B%22order%22%3A%22472%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.66%213.03%21%21%213.29%212.14%21%402103247417540045898053285e167c%2112000030538613231%21sea%21CA%216060346685%21X&curPageLogUid=LRempABJCIAC&utparam-url=scene%3Asearch%7Cquery_from%3A
M3x10 screws,1,n,4.34,4.34,includes 10,https://www.aliexpress.com/item/1005007360894545.html?spm=a2g0o.productlist.main.1.f39e5ce9wdB1FY&algo_pvid=74c4c261-4668-4d5c-a2d5-aa1f6258a699&algo_exp_id=74c4c261-4668-4d5c-a2d5-aa1f6258a699-0&pdp_ext_f=%7B%22order%22%3A%22190%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.34%214.34%21%21%2122.05%2122.05%21%402103247417540046084603988e167c%2112000049459291386%21sea%21CA%216060346685%21X&curPageLogUid=58VIxBhdJ0PI&utparam-url=scene%3Asearch%7Cquery_from%3A
Velco Straps,8,y,0,0,already owned,
Double sided tape,1,y,0,0,already owned,
,,,,,,
,,,,,,
,,,CAD,USD,,
,,Total Cost,551.32,136.45,,
,,,,Note: 150 USD = 204.58 CAD,,